theory,variant,benchmark,recorded_status,benchmark_status,classification,runtime_seconds
QF_LRA,no_bicp,/2019-ezsmt/robotics/3_4.smt2,unsat,unknown,metadata-unknown,0.12206792831420898
QF_LRA,no_bicp,/2019-ezsmt/robotics/3_1.smt2,unsat,unknown,metadata-unknown,0.12254762649536133
QF_LRA,no_bicp,/2019-ezsmt/robotics/1_3.smt2,unsat,unknown,metadata-unknown,0.11518096923828125
QF_LRA,no_bicp,/2019-ezsmt/routingMin/SCC_strong/d40.5.smt2,sat,unknown,metadata-unknown,0.1367945671081543
QF_LRA,no_bicp,/2019-ezsmt/routingMin/SCC_strong/d80.3.smt2,sat,unknown,metadata-unknown,0.13436603546142578
QF_LRA,no_bicp,/2019-ezsmt/routingMin/SCC_strong/d90.7.smt2,sat,unknown,metadata-unknown,0.1270923614501953
QF_LRA,no_bicp,/2019-ezsmt/routingMin/SCC_strong/d100.3.smt2,sat,unknown,metadata-unknown,0.13580632209777832
QF_LRA,no_bicp,/2019-ezsmt/routingMin/SCC_strong/d70.3.smt2,sat,unknown,metadata-unknown,0.13432741165161133
QF_LRA,no_bicp,/2019-ezsmt/routingMin/SCC_strong/d130.1.smt2,sat,unknown,metadata-unknown,0.1266191005706787
QF_LRA,no_bicp,/2019-ezsmt/routingMin/SCC_strong/d60.2.smt2,sat,unknown,metadata-unknown,0.13475632667541504
QF_LRA,no_bicp,/2019-ezsmt/routingMin/SCC_strong/d120.7.smt2,sat,unknown,metadata-unknown,0.13367390632629395
QF_LRA,no_bicp,/2019-ezsmt/routingMin/SCC_strong/d50.9.smt2,sat,unknown,metadata-unknown,0.1331794261932373
QF_LRA,no_bicp,/2019-ezsmt/routingMin/SCC_strong/d110.6.smt2,sat,unknown,metadata-unknown,0.12883496284484863
QF_LRA,no_bicp,/2019-ezsmt/blending/8.smt2,unsat,unknown,metadata-unknown,1.0331580638885498
QF_LRA,no_bicp,/2019-ezsmt/blending/16.smt2,unsat,unknown,metadata-unknown,0.8333415985107422
QF_LRA,no_bicp,/2019-ezsmt/blending/2.smt2,sat,unknown,metadata-unknown,0.1251544952392578
QF_LRA,no_bicp,/2019-ezsmt/blending/20.smt2,sat,unknown,metadata-unknown,0.11674189567565918
QF_LRA,no_bicp,/2019-ezsmt/blending/24.smt2,sat,unknown,metadata-unknown,0.12618398666381836
QF_LRA,no_bicp,/2019-ezsmt/blending/12.smt2,sat,unknown,metadata-unknown,0.12461304664611816
QF_LRA,no_bicp,/2019-ezsmt/blending/5.smt2,unsat,unknown,metadata-unknown,0.8501214981079102
QF_LRA,no_bicp,/2019-ezsmt/blending/7.smt2,sat,unknown,metadata-unknown,0.1187291145324707
QF_LRA,no_bicp,/2019-ezsmt/blending/14.smt2,sat,unknown,metadata-unknown,0.11739730834960938
QF_LRA,no_bicp,/2019-ezsmt/blending/18.smt2,sat,unknown,metadata-unknown,0.12556076049804688
QF_LRA,no_bicp,/2019-ezsmt/blending/13.smt2,unsat,unknown,metadata-unknown,1.1494543552398682
QF_LRA,no_bicp,/2019-ezsmt/blending/21.smt2,sat,unknown,metadata-unknown,0.11749553680419922
QF_LRA,no_bicp,/2019-ezsmt/blending/3.smt2,sat,unknown,metadata-unknown,0.11813688278198242
QF_LRA,no_bicp,/2019-ezsmt/blending/22.smt2,sat,unknown,metadata-unknown,0.12562274932861328
QF_LRA,no_bicp,/2019-ezsmt/blending/19.smt2,sat,unknown,metadata-unknown,0.12448239326477051
QF_LRA,no_bicp,/2019-ezsmt/blending/28.smt2,sat,unknown,metadata-unknown,0.11681818962097168
QF_LRA,no_bicp,/2019-ezsmt/blending/10.smt2,unsat,unknown,metadata-unknown,1.1353724002838135
QF_LRA,no_bicp,/2019-ezsmt/blending/17.smt2,sat,unknown,metadata-unknown,0.12351417541503906
QF_LRA,no_bicp,/2019-ezsmt/blending/11.smt2,sat,unknown,metadata-unknown,0.11675119400024414
QF_LRA,no_bicp,/2019-ezsmt/blending/23.smt2,sat,unknown,metadata-unknown,0.12223172187805176
QF_LRA,no_bicp,/2019-ezsmt/blending/input01.txt.smt2,sat,unknown,metadata-unknown,0.11687994003295898
QF_LRA,no_bicp,/2019-ezsmt/blending/4.smt2,unsat,unknown,metadata-unknown,0.9311411380767822
QF_LRA,no_bicp,/2019-ezsmt/blending/27.smt2,sat,unknown,metadata-unknown,0.1262531280517578
QF_LRA,no_bicp,/2019-ezsmt/blending/1.smt2,unsat,unknown,metadata-unknown,0.9315557479858398
QF_LRA,no_bicp,/2019-ezsmt/blending/15.smt2,sat,unknown,metadata-unknown,0.12248444557189941
QF_LRA,no_bicp,/2019-ezsmt/blending/6.smt2,unsat,unknown,metadata-unknown,1.2437243461608887
QF_LRA,no_bicp,/2019-ezsmt/blending/26.smt2,sat,unknown,metadata-unknown,0.12379169464111328
QF_LRA,no_bicp,/2019-ezsmt/blending/9.smt2,unsat,unknown,metadata-unknown,0.9328687191009521
QF_LRA,no_bicp,/2019-ezsmt/blending/29.smt2,sat,unknown,metadata-unknown,0.125838041305542
QF_LRA,no_bicp,/2019-ezsmt/blending/25.smt2,sat,unknown,metadata-unknown,0.12453651428222656
QF_LRA,no_bicp,/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_5.lp.smt2,sat,unknown,metadata-unknown,12.222236633300781
QF_LRA,no_bicp,/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_7.lp.smt2,sat,unknown,metadata-unknown,10.41286015510559
QF_LRA,no_bicp,/2019-ezsmt/travellingSalesperson/dom_rand_70_300_1155482584_3.lp.smt2,sat,unknown,metadata-unknown,9.813443422317505
QF_LRA,no_bicp,/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_12.lp.smt2,sat,unknown,metadata-unknown,11.115410089492798
QF_LRA,no_bicp,/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_3.lp.smt2,sat,unknown,metadata-unknown,25.634262323379517
QF_LRA,no_bicp,/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_10.lp.smt2,sat,unknown,metadata-unknown,21.51663613319397
QF_LRA,no_bicp,/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_5.lp.smt2,sat,unknown,metadata-unknown,4.820150375366211
QF_LRA,no_bicp,/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_11.lp.smt2,sat,unknown,metadata-unknown,11.477299213409424
QF_LRA,no_bicp,/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_12.lp.smt2,sat,unknown,metadata-unknown,9.010641813278198
QF_LRA,no_bicp,/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_4.lp.smt2,sat,unknown,metadata-unknown,18.736284494400024
QF_LRA,no_bicp,/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_16.lp.smt2,sat,unknown,metadata-unknown,17.308998584747314
QF_LRA,no_bicp,/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_13.lp.smt2,sat,unknown,metadata-unknown,12.418482303619385
QF_LRA,no_bicp,/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_0.lp.smt2,sat,unknown,metadata-unknown,10.024085760116577
QF_LRA,no_bicp,/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_6.lp.smt2,sat,unknown,metadata-unknown,18.740947246551514
QF_LRA,no_bicp,/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_14.lp.smt2,sat,unknown,metadata-unknown,5.014251232147217
QF_LRA,no_bicp,/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_15.lp.smt2,sat,unknown,metadata-unknown,28.78637671470642
