theory,variant,comparison_scope,direction,benchmark,full_status,variant_status,full_runtime_seconds,variant_runtime_seconds
QF_LIA,no_bicp,complete-full-list,full-only,/20220307-SMPT/SharedMemory-PT-000200/RC-04.smt2,unsat,timeout,581.7996594905853,1200.0009047985077
QF_LIA,no_bicp,complete-full-list,full-only,/20220307-SMPT/SharedMemory-PT-000200/RC-08.smt2,sat,timeout,10.017060279846191,1200.0008964538574
QF_LIA,no_bicp,complete-full-list,full-only,/20220307-SMPT/SharedMemory-PT-000200/RC-10.smt2,sat,timeout,10.118584394454956,1200.000930070877
QF_LIA,no_bicp,complete-full-list,full-only,/20220307-SMPT/SharedMemory-PT-000200/RC-11.smt2,sat,timeout,11.19458532333374,1200.000878572464
QF_LIA,no_bicp,complete-full-list,full-only,/20220307-SMPT/SharedMemory-PT-000200/RC-13.smt2,sat,timeout,10.892274141311646,1200.0009136199951
QF_LIA,no_bicp,complete-full-list,full-only,/20220307-SMPT/SharedMemory-PT-000200/RC-14.smt2,unsat,timeout,2.1292331218719482,1200.000961780548
QF_LIA,no_bicp,complete-full-list,full-only,/20220307-SMPT/SharedMemory-PT-000200/RC-15.smt2,sat,timeout,10.301164388656616,1200.0008597373962
QF_LIA,no_bicp,complete-full-list,full-only,/20220307-SMPT/SharedMemory-PT-000200/RF-08.smt2,unsat,timeout,1.7304012775421143,1200.000863790512
QF_LIA,no_bicp,complete-full-list,full-only,/20220307-SMPT/SharedMemory-PT-000200/RF-09.smt2,unsat,timeout,1.737337589263916,1200.0009379386902
QF_LIA,no_bicp,complete-full-list,full-only,/20220307-SMPT/SharedMemory-PT-000200/RF-10.smt2,sat,timeout,11.075299263000488,1200.0009121894836
QF_LIA,no_bicp,complete-full-list,full-only,/20220307-SMPT/SharedMemory-PT-000200/RF-11.smt2,unsat,timeout,1.7317068576812744,1200.0008370876312
QF_LIA,no_bicp,complete-full-list,full-only,/20220307-SMPT/SharedMemory-PT-000200/RF-12.smt2,sat,timeout,9.793281078338623,1200.000867843628
QF_LIA,no_bicp,complete-full-list,full-only,/20220307-SMPT/SharedMemory-PT-000200/RF-13.smt2,sat,timeout,11.171720266342163,1200.001033782959
QF_LIA,no_bicp,complete-full-list,full-only,/20220307-SMPT/SharedMemory-PT-000200/RF-14.smt2,unsat,timeout,2.210416555404663,1200.0008375644684
QF_LIA,no_bicp,complete-full-list,full-only,/20220307-SMPT/SharedMemory-PT-000200/RF-15.smt2,unsat,timeout,1.8383674621582031,1200.0009231567383
QF_LIA,no_bicp,complete-full-list,full-only,/CIRC/multiplier/MULTIPLIER_11.msat.smt2,unsat,timeout,699.870218038559,1200.01580452919
QF_LIA,no_bicp,complete-full-list,full-only,/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_11.msat.smt2,unsat,timeout,668.3930583000183,1200.006488084793
QF_LIA,no_bicp,complete-full-list,full-only,/arctic-matrix/constraint-1686226.smt2,sat,timeout,221.64916586875916,1200.0156683921814
